,ID,target,fm_sum,nonfm_sum
0,9506,1,0,0
1,12866,1,7,0
2,13359,1,19,5
3,13987,1,28,7
4,14140,1,30,5
5,14674,1,6,0
6,15859,1,31,2
7,16173,1,0,0
8,16766,1,25,5
9,16770,1,0,0
10,16918,1,18,9
11,17320,1,0,0
12,17808,1,30,14
13,18016,1,23,3
14,18082,1,22,8
15,18496,1,22,7
16,18508,1,19,6
17,18851,1,20,6
18,18853,1,15,6
19,19190,1,53,4
20,19519,1,0,0
21,19545,1,15,5
22,19985,1,29,15
23,20079,1,34,6
24,20093,1,35,2
25,20494,1,29,17
26,20590,1,9,7
27,20765,1,21,9
28,20928,1,41,6
29,21474,1,11,9
30,21682,1,43,14
31,21814,1,30,27
32,21966,1,48,11
33,22921,1,10,4
34,22991,1,13,12
35,23356,1,0,0
36,23403,1,32,9
37,23622,1,23,8
38,23679,1,50,3
39,24255,1,30,8
40,24455,1,16,5
41,24996,1,26,3
42,25435,1,47,15
43,25958,1,8,7
44,25979,1,13,0
45,26146,1,41,8
46,26187,1,17,4
47,26385,1,24,10
48,26500,1,12,3
49,28483,1,28,3
50,28613,1,45,11
51,28649,1,42,3
52,28783,1,31,7
53,28883,1,21,14
54,29462,1,35,14
55,29474,1,45,13
56,29860,1,53,11
57,29875,1,8,14
58,30036,1,54,14
59,30499,1,14,10
60,30929,1,30,17
61,31156,1,51,5
62,31298,1,16,16
63,32975,1,25,7
64,33498,1,28,6
65,33634,1,37,2
66,33909,1,33,9
67,34180,1,26,9
68,34403,1,49,6
69,34852,1,17,9
70,35520,1,25,6
71,36548,1,36,6
72,36735,1,22,16
73,37827,1,40,9
74,37936,1,29,9
75,38015,1,80,6
76,38604,1,50,16
77,38916,1,31,6
78,39024,1,44,7
79,39344,1,30,12
80,39674,1,23,6
81,40183,1,14,14
82,40275,1,41,3
83,40453,1,27,11
84,40934,1,22,11
85,40971,1,62,8
86,41603,1,20,1
87,42958,1,28,9
88,43327,1,24,13
89,43491,1,36,8
90,44920,1,45,12
91,46041,1,18,2
92,47823,1,32,14
93,49666,1,36,14
94,50016,1,33,10
95,50479,1,50,18
96,50636,1,33,10
97,50761,1,35,18
98,51074,1,38,11
99,51564,1,17,12
100,52110,1,26,8
101,52522,1,46,5
102,52942,1,68,14
103,53605,1,25,5
104,53888,1,39,9
105,54971,1,23,6
106,55022,1,34,17
107,55075,1,17,4
108,55827,1,34,8
109,55870,1,27,8
110,56024,1,45,18
111,56089,1,42,11
112,56098,1,21,10
113,56366,1,39,11
114,56483,1,35,10
115,56519,1,21,20
116,56621,1,29,10
117,56912,1,37,7
118,56942,1,21,13
119,57220,1,29,16
120,57225,1,53,5
121,57866,1,57,10
122,58265,1,32,7
123,58446,1,21,3
124,58785,1,24,10
125,58856,1,65,12
126,59764,1,33,5
127,61054,1,28,7
128,61171,1,37,8
129,61358,1,27,9
130,61668,1,32,1
131,61672,1,39,13
132,61709,1,31,2
133,61997,1,24,8
134,64869,1,35,15
135,10426,0,2,3
136,12831,0,31,8
137,13062,0,22,17
138,13263,0,8,19
139,13593,0,21,18
140,13594,0,39,10
141,14188,0,13,9
142,14237,0,31,20
143,14247,0,21,6
144,14439,0,20,11
145,14972,0,65,12
146,15208,0,21,26
147,15470,0,24,28
148,15635,0,29,4
149,15705,0,25,4
150,15813,0,32,11
151,15843,0,24,31
152,16080,0,7,13
153,16097,0,65,21
154,16388,0,13,15
155,16412,0,20,6
156,16647,0,20,6
157,16708,0,20,13
158,16729,0,20,26
159,16799,0,6,3
160,16948,0,17,18
161,16980,0,25,3
162,17011,0,17,11
163,17098,0,4,21
164,17157,0,23,13
165,17158,0,13,23
166,17353,0,32,6
167,17359,0,26,13
168,18087,0,16,18
169,18297,0,27,4
170,18651,0,19,11
171,18883,0,8,10
172,19115,0,12,14
173,19849,0,10,3
174,19989,0,18,5
175,20060,0,18,16
176,20236,0,10,9
177,20735,0,50,13
178,21159,0,48,15
179,21178,0,19,12
180,21211,0,22,11
181,21292,0,17,16
182,21454,0,32,20
183,21560,0,37,30
184,21566,0,14,27
185,21577,0,41,18
186,21894,0,20,11
187,22194,0,38,20
188,22692,0,35,13
189,23689,0,24,15
190,24370,0,16,12
191,25018,0,12,4
192,25371,0,20,12
193,25375,0,19,25
194,25608,0,24,20
195,25626,0,20,6
196,25784,0,26,3
197,26049,0,15,8
198,26098,0,4,16
199,26223,0,16,14
200,26224,0,24,11
201,26544,0,26,17
202,26558,0,38,16
203,28409,0,40,12
204,28777,0,18,13
205,28854,0,39,13
206,29464,0,23,15
207,30144,0,20,8
208,30702,0,4,9
209,30739,0,38,37
210,32458,0,24,15
211,32568,0,44,20
212,33208,0,45,28
213,33773,0,30,24
214,34042,0,42,18
215,34158,0,24,9
216,34186,0,20,13
217,34666,0,22,15
218,34859,0,13,15
219,35229,0,21,9
220,35556,0,41,21
221,35653,0,10,5
222,35684,0,8,11
223,35693,0,22,22
224,35813,0,10,12
225,36862,0,32,7
226,37711,0,42,20
227,37840,0,17,26
228,37983,0,49,15
229,38663,0,21,8
230,39169,0,26,8
231,39414,0,54,13
232,41696,0,37,22
233,42023,0,20,6
234,42249,0,29,18
235,42810,0,20,14
236,43546,0,20,7
237,43609,0,41,11
238,44013,0,22,9
239,44307,0,18,19
240,44767,0,9,6
241,48851,0,27,13
242,49020,0,18,10
243,49247,0,13,8
244,49615,0,39,14
245,49748,0,24,7
246,49795,0,28,25
247,51756,0,23,15
248,52382,0,9,9
249,52822,0,22,10
250,54800,0,29,15
251,54929,0,22,16
252,55524,0,42,14
253,55862,0,41,8
254,56014,0,36,9
255,56434,0,24,11
256,56502,0,54,20
257,56592,0,26,9
258,57180,0,17,11
259,57583,0,21,16
